[2021-12-16 19:50:06][INFO][tid:7945][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8003
[2021-12-16 19:50:33][INFO][tid:7945][master_basical.cpp(357):masterhandler]delete unhealthy cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:50:33][INFO][tid:7945][master_basical.cpp(357):masterhandler]delete unhealthy cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:50:57][INFO][tid:7945][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:50:57][INFO][tid:7945][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
[2021-12-16 19:50:58][INFO][tid:7945][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8003
[2021-12-16 19:58:43][INFO][tid:8398][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:58:45][INFO][tid:8398][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
[2021-12-16 19:58:45][INFO][tid:8398][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:58:46][INFO][tid:8398][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8003
[2021-12-16 19:58:47][INFO][tid:8398][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
[2021-12-16 19:58:47][INFO][tid:8398][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:59:09][INFO][tid:8398][master_basical.cpp(290):masterhandler]delete normal cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:59:56][INFO][tid:8398][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8000
[2021-12-16 19:59:56][INFO][tid:8398][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8001
[2021-12-16 19:59:57][INFO][tid:8398][master_basical.cpp(216):masterhandler]add new cache : ip = 127.0.0.1, port = 8003
